simple_name,full_name,title,lore,blurb,key_id,ally_tips,enemy_tips,resource,tags,attack_rating,defense_rating,difficulty_rating,magic_rating,passive_name,passive_description,hp,hpperlevel,mp,mpperlevel,movespeed,armor,armorperlevel,spellblock,spellblockperlevel,attackrange,hpregen,hpregenperlevel,mpregen,mpregenperlevel,crit,critperlevel,attackdamage,attackdamageperlevel,attackspeedperlevel,attackspeed
azir,Azir,the Emperor of the Sands,"Azir was a mortal emperor of Shurima in a far distant age, a proud man who stood at the cusp of immortality. His hubris saw him betrayed and murdered at the moment of his greatest triumph, but now, millennia later, he has been reborn as an Ascended being of immense power. With his buried city risen from the sand, Azir seeks to restore Shurima to its former glory.","Azir was a mortal emperor of Shurima in a far distant age, a proud man who stood at the cusp of immortality. His hubris saw him betrayed and murdered at the moment of his greatest triumph, but now, millennia later, he has been reborn as an Ascended...",268,"Be careful about putting down both of the soldiers stored by Arise! Unless you're going all-in, always have a soldier in your back pocket if you need to escape over a wall or if you misposition your other soldier and need damage now._In the lane, try to position your soldiers between the enemy's minions and the enemy champion. This way you can use them both to last hit and to project threat onto your lane opponent._Think of Emperor's Divide as a defensive ability first and foremost. Use it when the enemy engages on you or your allies. Remember that your team can walk through the soldiers summoned by Emperor's Divide and use this to your advantage when enemy melee champions engage on you._Be a bird!",Azir relies on his soldiers to deal damage and can only move them so often. Try to capitalize on windows of time when his soldiers are stationary._Azir has immense damage over a prolonged amount of time but lacks the upfront burst of other mages. Try to burst him out before he can turn a confrontation around._Try to think of Sand Soldiers as fire. Don't stand in the fire.,Mana,Mage_Marksman,6,3,9,8,Shurima's Legacy,Azir can summon the Disc of the Sun from the ruins of allied or enemy turrets.,552.0,92,480.0,21.0,335,19,3.0,30.0,0.5,525,7.0,0.75,8.0,0.8,0,0,52.0,2.8,3.0,0.625
bard,Bard,the Wandering Caretaker,"A traveler from beyond the stars, Bard is an agent of serendipity who fights to maintain a balance where life can endure the indifference of chaos. Many Runeterrans sing songs that ponder his extraordinary nature, yet they all agree that the cosmic vagabond is drawn to artifacts of great magical power. Surrounded by a jubilant choir of helpful spirit meeps, it is impossible to mistake his actions as malevolent, as Bard always serves the greater good... in his own odd way.","A traveler from beyond the stars, Bard is an agent of serendipity who fights to maintain a balance where life can endure the indifference of chaos. Many Runeterrans sing songs that ponder his extraordinary nature, yet they all agree that the cosmic...",432,"It's important to collect chimes to improve your meep's attacks, but don't neglect your lane partner! Try to make a big entrance by bringing an ally into the lane with you with Magical Journey._Let your Caretaker's Shrines charge up - they heal for a lot more when at full power._Don't forget that enemies can also use your Magical Journey doorways, and that your ultimate can also hit your allies!","Bard's opponents can also travel through his Magical Journey doorways. You can follow him, if you think it's safe._You can crush Bard's healing shrines just by walking over them. Don't let his allies take them without a fight._Bard's ultimate, Tempered Fate, affects allies, enemies, monsters, and turrets alike. Sometimes it can be to your advantage to jump into it!",Mana,Support_Mage,4,4,9,5,Traveler's Call,"<font color='#FF9900'>Meeps:</font> Bard attracts lesser spirits that assist with his basic attacks to deal extra magic damage. When Bard has collected enough  <font color='#cccc00'>Chimes</font>, his meeps will also deal damage in an area and slow enemies hit.<br><br><font color='#FF9900'>Chimes:</font> Ancient <font color='#cccc00'>chimes</font> randomly appear for Bard to collect. These grant experience, restore mana, and provide out of combat Move Speed.",560.0,89,350.0,50.0,330,34,4.0,30.0,0.5,500,5.5,0.55,6.0,0.45,0,0,52.0,3.0,2.0,0.625
blitzcrank,Blitzcrank,the Great Steam Golem,"Blitzcrank is an enormous, near-indestructible automaton from Zaun, originally built to dispose of hazardous waste. However, he found this primary purpose too restricting, and modified his own form to better serve the fragile people of the Sump. Blitzcrank selflessly uses his strength and durability to protect others, extending a helpful metal fist or burst of energy to subdue any troublemakers.","Blitzcrank is an enormous, near-indestructible automaton from Zaun, originally built to dispose of hazardous waste. However, he found this primary purpose too restricting, and modified his own form to better serve the fragile people of the Sump...",53,"The 1-2-3 combo of Rocket Grab, Power Fist, and Static Field can devastate an individual opponent._Using Blitzcrank's grab to pull an enemy into your tower range followed by a Power Fist will allow the tower to get several hits on them.",Blitzcrank's passive Mana Barrier grants him a shield when he is low on health._Staying behind creeps can prevent you from being Rocket Grabbed. Blitzcrank's Rocket Grab only pulls the first enemy target it encounters.,Mana,Tank_Fighter,4,8,4,5,Mana Barrier,Blitzcrank gains a shield based on his mana when dropping to low health.,583.0,95,267.0,40.0,325,40,3.5,32.0,1.25,125,8.5,0.75,8.5,0.8,0,0,62.0,3.5,1.13,0.625
brand,Brand,the Burning Vengeance,"Once a tribesman of the icy Freljord named Kegan Rodhe, the creature known as Brand is a lesson in the temptation of greater power. Seeking one of the legendary World Runes, Kegan betrayed his companions and seized it for himself—and, in an instant, the man was no more. His soul burned away, his body a vessel of living flame, Brand now roams Valoran in search of other Runes, swearing revenge for wrongs he could never possibly have suffered in a dozen mortal lifetimes.","Once a tribesman of the icy Freljord named Kegan Rodhe, the creature known as Brand is a lesson in the temptation of greater power. Seeking one of the legendary World Runes, Kegan betrayed his companions and seized it for himself—and, in an instant, the...",63,"You can deter enemies from standing near their minions by setting them ablaze, due to Conflagration._You can use Brand's abilities in a variety of combinations to maximize his damage in different situations._Pyroclasm bounces randomly between enemies, so try to cast it on a small group of enemies if you want to hit the same target multiple times.","Brand must land an ability before his combo is able to get started. Dodging his Sear or Pillar of Flame will disrupt his rhythm._Try to move away from allies when you see Pyroclasm being cast. The initial missile speed is slow, which should give your team time to react._Brand's passive allows him to excel against teams that cluster together. Be sure to split up against him.",Mana,Mage,2,2,4,9,Blaze,"Brand's spells light his targets ablaze, dealing damage over 4 seconds, stacking up to 3 times. If Brand kills an enemy while it is ablaze he regains mana. When Blaze reaches max stacks on a Champion or large monster, it becomes unstable. It detonates in 2 seconds, applying spell effects and dealing massive damage in an area around the victim.",520.0,88,469.0,21.0,340,22,3.5,30.0,0.5,550,5.5,0.55,10.67,0.6,0,0,57.0,3.0,1.36,0.625
braum,Braum,the Heart of the Freljord,"Blessed with massive biceps and an even bigger heart, Braum is a beloved hero of the Freljord. Every mead hall north of Frostheld toasts his legendary strength, said to have felled a forest of oaks in a single night, and punched an entire mountain into rubble. Bearing an enchanted vault door as his shield, Braum roams the frozen north sporting a mustachioed smile as big as his muscles—a true friend to all those in need.","Blessed with massive biceps and an even bigger heart, Braum is a beloved hero of the Freljord. Every mead hall north of Frostheld toasts his legendary strength, said to have felled a forest of oaks in a single night, and punched an entire mountain into...",201,"Work with your allies to stack Concussive Blows, encourage them to basic attack marked targets._Leap in front of squishy friends and shield them from projectiles with Unbreakable._Glacial Fissure leaves a powerful slow zone, position it well to split teamfights and slow the enemy approach.","Braum must land Winter's Bite or a basic attack to start Concussive Blows. If you get marked, exit combat range before getting hit 3 more times to avoid the stun._Braum's ultimate has a long cast time, use that extra time to dodge. Walking over the frozen ground left behind will slow you, position so that you don't need to cross it._Unbreakable gives Braum extremely strong directional defense, either wait until it is down or outposition the ability.",Mana,Support_Tank,3,9,3,4,Concussive Blows,"Braum's basic attacks apply Concussive Blows. Once the first stack is applied, <font color='#FFF673'>ally</font> basic attacks also stack Concussive Blows. <br><br>Upon reaching 4 stacks, the target is stunned and takes magic damage. For the next few seconds they cannot receive new stacks, but take bonus magic damage from Braum's attacks.",540.0,98,311.0,45.0,335,47,4.0,32.0,1.25,125,8.5,1.0,6.0,0.8,0,0,55.0,3.2,3.5,0.644
caitlyn,Caitlyn,the Sheriff of Piltover,"Renowned as its finest peacekeeper, Caitlyn is also Piltover's best shot at ridding the city of its elusive criminal elements. She is often paired with Vi, acting as a cool counterpoint to her partner's more impetuous nature. Even though she carries a one-of-a-kind hextech rifle, Caitlyn's most powerful weapon is her superior intellect, allowing her to lay elaborate traps for any lawbreakers foolish enough to operate in the City of Progress.","Renowned as its finest peacekeeper, Caitlyn is also Piltover's best shot at ridding the city of its elusive criminal elements. She is often paired with Vi, acting as a cool counterpoint to her partner's more impetuous nature. Even though she carries a...",51,Make use of her Yordle Snap Traps by placing them pre-emptively to ensure that you'll have one off of cooldown during combat._Avoid using Ace in the Hole in large team melees as it might be blocked by the wrong target._Fire 90 Caliber Net away from the opponent to close the gap or hop over walls.,Keep behind allied minions if Caitlyn is harassing you with Piltover Peacemaker (it deals less damage with each subsequent target)._You can intercept Ace in the Hole's missile from hitting an ally if you stand in its path.,Mana,Marksman,8,2,6,2,Headshot,"Every few basic attacks, or against a target she has trapped or netted, Caitlyn will fire a headshot dealing bonus damage that scales with her critical strike chance. On trapped or netted targets, Caitlyn's Headshot attack range is doubled.",510.0,93,315.0,35.0,325,28,3.5,30.0,0.5,650,3.5,0.55,7.4,0.55,0,0,62.0,3.8,4.0,0.681
camille,Camille,the Steel Shadow,"Weaponized to operate outside the boundaries of the law, Camille is the Principal Intelligencer of Clan Ferros—an elegant and elite agent who ensures the Piltover machine and its Zaunite underbelly runs smoothly. Adaptable and precise, she views sloppy technique as an embarrassment that must be put to order. With a mind as sharp as the blades she bears, Camille's pursuit of superiority through hextech body augmentation has left many to wonder if she is now more machine than woman.","Weaponized to operate outside the boundaries of the law, Camille is the Principal Intelligencer of Clan Ferros—an elegant and elite agent who ensures the Piltover machine and its Zaunite underbelly runs smoothly. Adaptable and precise, she views sloppy...",164,"Try waiting until the other team is distracted with fighting your team, and use Hookshot to pick off vulnerable targets._Use the CC from your abilities to land both of your Precision Protocol attacks on enemies.","Camille's shield only works against one damage type, so hit her when she's vulnerable to your damage._The Hextech Ultimatum has a very short range to cast, so try to flash away from her before she gets close.",Mana,Fighter_Tank,8,6,4,3,Adaptive Defenses,Basic attacks on champions grant a shield equal to a percentage of Camille's maximum health against their damage type (Physical or Magic) for a brief duration.,576.0,85,339.0,52.0,340,35,3.8,32.1,1.25,125,8.5,0.8,8.15,0.75,0,0,68.0,3.5,2.5,0.644
cassiopeia,Cassiopeia,the Serpent's Embrace,"Cassiopeia is a deadly creature bent on manipulating others to her sinister will. Youngest and most beautiful daughter of the noble Du Couteau family of Noxus, she ventured deep into the crypts beneath Shurima in search of ancient power. There, she was bitten by a gruesome tomb guardian, whose venom transformed her into a viper-like predator. Cunning and agile, Cassiopeia now slithers under the veil of night, petrifying her enemies with her baleful gaze.","Cassiopeia is a deadly creature bent on manipulating others to her sinister will. Youngest and most beautiful daughter of the noble Du Couteau family of Noxus, she ventured deep into the crypts beneath Shurima in search of ancient power. There, she was...",69,Use Twin Fang on poisoned stationary targets like monsters and units stunned by her Petrifying Gaze for maximum damage._Lead your enemy when targeting with Noxious Blast to ensure the hit.,Be wary of Cassiopeia's damage potential with Twin Fang when she has you poisoned._Turn away from Cassiopeia when she is casting Petrifying Gaze to get slowed instead of stunned.,Mana,Mage,2,3,10,9,Serpentine Grace,"Cassiopeia gains Move Speed per level, but she cannot purchase Boots items.",560.0,90,350.0,60.0,328,18,3.5,32.0,0.5,550,5.5,0.5,8.0,0.8,0,0,53.0,3.0,1.5,0.647
chogath,Cho'Gath,the Terror of the Void,"From the moment Cho'Gath first emerged into the harsh light of Runeterra's sun, the beast was driven by the most pure and insatiable hunger. A perfect expression of the Void's desire to consume all life, Cho'Gath's complex biology quickly converts matter into new bodily growth—increasing its muscle mass and density, or hardening its outer carapace like organic diamond. When growing larger does not suit the Void-spawn's needs, it vomits out the excess material as razor-sharp spines, leaving prey skewered and ready to feast upon later.","From the moment Cho'Gath first emerged into the harsh light of Runeterra's sun, the beast was driven by the most pure and insatiable hunger. A perfect expression of the Void's desire to consume all life, Cho'Gath's complex biology quickly converts...",31,"Try to line up your attacks with Vorpal Spikes so that they kill minions and harass enemy champions at the same time._If you're having difficulty feasting upon champions, try eating minions until you're larger._Using Rupture on creeps in combination with Carnivore is a good way to gain Health and Mana.",Purchasing a few HP items decreases the chances of Cho'Gath killing you quickly._Focus on preventing Cho'Gath from reaching his max size._Rupture has a smoke cloud indicating the area it will strike. Try to watch out for it to prevent Cho'Gath from being able to combo his abilities.,Mana,Tank_Mage,3,7,5,7,Carnivore,"Whenever Cho'Gath kills a unit, he recovers Health and Mana. The values restored increase with Cho'Gath's level.",574.0,80,270.0,60.0,345,38,3.5,32.0,1.25,125,9.0,0.85,7.2,0.45,0,0,69.0,4.2,1.44,0.625
corki,Corki,the Daring Bombardier,"The yordle pilot Corki loves two things above all others: flying, and his glamorous mustache... though not necessarily in that order. After leaving Bandle City, he settled in Piltover and fell in love with the wondrous machines he found there. He dedicated himself to the development of flying contraptions, leading an aerial defense force of seasoned veterans known as the Screaming Yipsnakes. Calm under fire, Corki patrols the skies around his adopted home, and has never encountered a problem that a good missile barrage couldn't solve.","The yordle pilot Corki loves two things above all others: flying, and his glamorous mustache... though not necessarily in that order. After leaving Bandle City, he settled in Piltover and fell in love with the wondrous machines he found there. He...",42,"Phosphorus Bomb can be used to reveal enemy units that might be hiding in a nearby patch of brush._Valkyrie can be used defensively as well, so try using it for a quick escape._Corki can continue to attack while using Gatling Gun. Maximizing Gatling Gun is key to mastering Corki.","Watch out for Corki's Missile Barrage. They deal splash damage, so you can get hit even when hiding behind minions._Corki is vulnerable after he uses his Valkyrie or Special Delivery, so try switching focus to him if he uses them to enter a fight.",Mana,Marksman,8,3,6,6,Hextech Munitions,"A percentage of Corki's basic attack damage is converted into <magicDamage>magic damage</magicDamage>.<br><br>Corki can occasionally retrieve The Package inside his base, granting him movement speed and an empowered cast of Valkyrie.",518.0,87,350.0,54.0,325,28,3.5,30.0,0.5,550,5.5,0.55,7.42,0.55,0,0,55.0,2.5,2.3,0.638
