key,ability,ability_name,description,tooltip,maxrank,cooldown,cost,maxammo,range
84,E,Shuriken Flip,"Flip backward and fire a shuriken forward, dealing magic damage. The first enemy or smoke cloud hit is marked. Re-cast to dash to the marked target, dealing additional damage.","Akali flips backwards as she throws a shuriken, dealing <magicDamage>{{ e1damage }} magic damage</magicDamage> and marking the first enemy or smoke cloud hit. Akali can <recast>Recast</recast> this once to dash to the marked target, dealing <magicDamage>{{ e2damagecalc }} magic damage</magicDamage>.",5,16_14.5_13_11.5_10,30_30_30_30_30,-1,825
84,R,Perfect Execution,"Akali leaps in a direction, damaging enemies she strikes. Re-cast: Akali dashes in a direction, executing all enemies she strikes.","Akali vaults over an enemy champion, dealing <magicDamage>{{ cast1damage }} magic damage</magicDamage> to all enemies in her path. <br /><br />Akali can <recast>Recast</recast> after {{ cooldownbetweencasts }} seconds to execute a piercing thrust, dashing and dealing <magicDamage>{{ cast2damagemin }}</magicDamage> to <magicDamage>{{ cast2damagemax }} magic damage</magicDamage> based on missing health.",3,100_80_60,0_0_0,-1,675
166,Q,Avengerang,"Akshan throws a boomerang that deals damage going out and coming back, extending its range each time it hits an enemy.","Akshan throws a boomerang that deals <physicalDamage>{{ finaldamage }} physical damage</physicalDamage>, extending the range each time an enemy is hit.<br /><br />Champion hits grant Akshan <speed>{{ hastevalue*100 }}% Move Speed</speed> decaying over {{ hasteduration }} second.",5,8_7.25_6.5_5.75_5,60_65_70_75_80,-1,850
166,W,Going Rogue,"Akshan passively marks enemy champions as Scoundrels when they kill his ally champions. If Akshan kills a Scoundrel, he resurrects the allies they killed, gains bonus gold, and clears all marks.<br><br>When activated, Akshan enters camouflage and gains Move Speed and Mana Regen while moving towards Scoundrels. Akshan loses the camouflage quickly while he is not in brush or near terrain.","<spellPassive>Passive</spellPassive>: Enemy champions that kill Akshan's allies become <keywordMajor>Scoundrels</keywordMajor> for {{ vengeanceduration }} seconds. Takedowns on a <keywordMajor>Scoundrel</keywordMajor> within {{ recentlydamagedwindow }} seconds of being damaged by Akshan grant him {{ goldreward }} Gold, resurrects the slain allies, and removes all other <keywordMajor>Scoundrels</keywordMajor>.<br /><br /><spellActive>Active</spellActive>: Akshan becomes <keywordStealth>Camouflaged</keywordStealth> for {{ wallgraceperiod }} seconds or indefinitely while he is near a wall or in brush. While <keywordStealth>Camouflaged</keywordStealth> in this way, Akshan also gains <speed>{{ msvalue }} Move Speed</speed> and <scaleMana>{{ missingmanaregen*100 }}% missing Mana regen</scaleMana> while moving towards <keywordMajor>Scoundrels</keywordMajor>.",5,18_14_10_6_2,40_30_20_10_0,-1,5500
166,E,Heroic Swing,"Akshan fires a grappling hook into terrain then swings around it, repeatedly firing at the nearest enemy while swinging. He can jump off early or gets knocked off when colliding with champions or terrain.","<spellActive>First Cast:</spellActive> Akshan fires a grappling hook, attaching to the first terrain hit.<br /><br /><spellActive>Second Cast:</spellActive> Akshan swings around the terrain, repeatedly firing at the nearest enemy for <physicalDamage>{{ asmoddamagetodeal }} physical damage</physicalDamage> per shot.<br /><br /><spellActive>Third Cast:</spellActive> Akshan dives off the rope, firing a final shot.<br /><br />Colliding with an enemy Champion or terrain ends the swing early.<br /><br />Champion takedowns refresh this Ability's Cooldown.",5,18_16.5_15_13.5_12,70_70_70_70_70,-1,800
166,R,Comeuppance,"Akshan locks onto an enemy champion and starts storing bullets. When released, he fires all stored bullets, dealing damage based on missing health to the first champion, minion, or structure hit.","Akshan locks onto a champion and begins overcharging his gun for up to {{ channelduration }} seconds, storing up to {{ numberofbullets }} bullets.<br /><br /><recast>Recast:</recast> Akshan unleashes the stored bullets, each dealing at least <physicalDamage>{{ damageperbulletwithcrit }} physical damage</physicalDamage> to the first enemy or structure hit, increased up to <physicalDamage>{{ maxdamageperbullet }} physical damage</physicalDamage> based on missing Health.",3,100_85_70,100_100_100,-1,2500
12,Q,Pulverize,"Alistar smashes the ground, dealing damage to nearby enemies and tossing them into the air.","Alistar smashes the ground, <status>Knocking Up</status> enemies for {{ e3 }} second and dealing <magicDamage>{{ totaldamage }} magic damage</magicDamage>.",5,15_14_13_12_11,65_70_75_80_85,-1,365
12,W,Headbutt,"Alistar rams a target with his head, dealing damage and knocking the target back.","Alistar rams into an enemy, <status>Knocking</status> them <status>Back</status> and dealing <magicDamage>{{ totaldamage }} magic damage</magicDamage>.",5,14_13_12_11_10,65_70_75_80_85,-1,650
12,E,Trample,"Alistar tramples nearby enemy units, ignoring unit collision and gaining stacks if he damages an enemy champion. At full stacks Alistar's next basic attack against an enemy champion deals additional magic damage and stuns them.","Alistar begins trampling the ground, becoming Ghosted and dealing <magicDamage>{{ totaldamage }} magic damage</magicDamage> over {{ e3 }} seconds to nearby enemies. Each pulse that damages a champion grants a stack.<br /><br />At {{ e5 }} stacks, Alistar's next Attack <status>Stuns</status> for {{ e6 }} second and deals an additional <magicDamage>{{ attackbonusdamage }} magic damage</magicDamage>.",5,12_11.5_11_10.5_10,50_60_70_80_90,-1,350
12,R,Unbreakable Will,"Alistar lets out a wild roar, removing all crowd control effects on himself, and reducing incoming physical and magical damage for the duration.",Alistar immediately cleanses all <status>Disabling</status> effects and takes {{ rdamagereduction }}% reduced damage for {{ rduration }} seconds.,3,120_100_80,100_100_100,-1,1
32,Q,Bandage Toss,"Amumu tosses a sticky bandage at a target, stunning and damaging the target while he pulls himself to them.","Amumu launches a bandage, pulling himself to the first enemy hit, <status>Stunning</status> them for {{ e2 }} second, and dealing <magicDamage>{{ totaldamage }} magic damage</magicDamage>.<br /><br />This Ability has 2 charges.",5,3_3_3_3_3,70_70_70_70_70,2,1100
32,W,Despair,"Overcome by anguish, nearby enemies lose a percentage of their maximum Health each second and have their <font color='#9b0f5f'>Curses</font> refreshed.","<toggle>Toggle:</toggle> Amumu begins crying, dealing <magicDamage>{{ e2 }} plus {{ totalhealthdamagepercent }} max Health magic damage</magicDamage> to nearby enemies every second and refreshing <keywordMajor>Curse</keywordMajor>.",5,1_1_1_1_1,8_8_8_8_8,-1,300
32,E,Tantrum,"Permanently reduces the physical damage Amumu would take. Amumu can unleash his rage, dealing damage to surrounding enemies. Each time Amumu is hit, the cooldown on Tantrum is reduced by 0.5 seconds.","<spellPassive>Passive:</spellPassive> Amumu takes {{ damagereduction }} reduced physical damage. Additionally, when Amumu is hit by an Attack, this Ability's Cooldown is reduced by 0.5 seconds.<br /><br /><spellActive>Active:</spellActive> Amumu throws a tantrum, dealing <magicDamage>{{ tantrumdamage }} magic damage</magicDamage> to nearby enemies.",5,9_8_7_6_5,35_35_35_35_35,-1,350
32,R,Curse of the Sad Mummy,"Amumu entangles surrounding enemy units in bandages, applying his <keywordMajor>Curse</keywordMajor>, damaging and stunning them.","Amumu flares out his bandages, <status>Stunning</status> for {{ rduration }} seconds, dealing <magicDamage>{{ rcalculateddamage }} magic damage</magicDamage> and applying <keywordMajor>Curse</keywordMajor>.",3,150_125_100,100_150_200,-1,550
34,Q,Flash Frost,"Anivia brings her wings together and summons a sphere of ice that flies towards her opponents, chilling and damaging anyone in its path. When the sphere explodes it does moderate damage in a radius, stunning anyone in the area.","Anivia fires a massive chunk of ice, dealing <magicDamage>{{ totalpassthroughdamage }} magic damage</magicDamage> and <keywordMajor>Chilling</keywordMajor> enemies for {{ slowduration }} seconds, <status>Slowing</status> them by {{ spell.glacialstorm:slowamount }}%. At the end of its range, the ice detonates, <status>Stunning</status> enemies for {{ stunduration }} seconds and dealing <magicDamage>{{ totalexplosiondamage }} magic damage</magicDamage>.<br /><br />Anivia can <recast>Recast</recast> this ability while the ice flies to detonate it early.",5,11_10_9_8_7,80_85_90_95_100,-1,1075
34,W,Crystallize,Anivia condenses the moisture in the air into an impassable wall of ice to block all movement. The wall only lasts a short duration before it melts.,Anivia summons a wall of ice {{ e2 }} units wide. The wall lasts for {{ e1 }} seconds before it melts.,5,17_17_17_17_17,70_70_70_70_70,-1,1000
34,E,Frostbite,"With a flap of her wings, Anivia blasts a freezing gust of wind at her target, dealing damage. If the target was recently hit by Flash Frost or damaged by a fully formed Glacial Storm, the damage they take is doubled.","Anivia blasts an enemy with a freezing wind, dealing <magicDamage>{{ totaldamage }} magic damage</magicDamage>. Against <keywordMajor>Chilled</keywordMajor> enemies, Anivia deals <magicDamage>{{ empowereddamage }} magic damage</magicDamage> instead.",5,4_4_4_4_4,50_50_50_50_50,-1,650
34,R,Glacial Storm,Anivia summons a driving rain of ice and hail to damage her enemies and slow their advance.,"<toggle>Toggle:</toggle> Anivia calls forth a driving rain of ice and hail that <status>Slows</status> enemies by {{ slowamount }}% and deals <magicDamage>{{ totaldamagepersecond }} magic damage per second</magicDamage>. The storm increases in size over {{ growthtime }} seconds.<br /><br />When the storm is fully formed, it <keywordMajor>Chills</keywordMajor>, <status>Slows</status> by {{ slowpercentempoweredtt }}%, and does <magicDamage>{{ empowereddamagepersecondtooltiponly }} magic damage per second</magicDamage> instead.",3,4_3_2,60_60_60,-1,750
1,Q,Disintegrate,"Annie hurls a Mana infused fireball, dealing damage and refunding the Mana cost if it destroys the target.","Annie hurls a fireball, dealing <magicDamage>{{ totaldamage }} magic damage</magicDamage>. If the target dies, Annie refunds the Mana cost and reduces the Cooldown by 50%.",5,4_4_4_4_4,60_65_70_75_80,-1,625
1,W,Incinerate,"Annie casts a blazing cone of fire, dealing damage to all enemies in the area.","Annie projects a wave of fire, dealing <magicDamage>{{ totaldamage }} magic damage</magicDamage>.",5,8_8_8_8_8,90_95_100_105_110,-1,600
1,E,Molten Shield,"Grants Annie or an ally a shield, a burst of Movement Speed, and damages enemies who attack her with basic attacks.","Annie grants herself or an ally <shield>{{ shieldblocktotal }} Shield</shield> for {{ shieldduration }} seconds and <speed>{{ movespeedcalc }} Move Speed</speed> decaying over {{ movementspeedduration }} seconds. While the shield holds, enemies who Attack it take <magicDamage>{{ damagereturn }} magic damage</magicDamage>.",5,14_13_12_11_10,40_40_40_40_40,-1,800
1,R,Summon: Tibbers,"Annie wills her bear Tibbers to life, dealing damage to units in the area. Tibbers can attack and also burns enemies that stand near him.","Annie summons her bear Tibbers, dealing <magicDamage>{{ initialburstdamage }} magic damage</magicDamage>. For the next {{ tibberslifetime }} seconds, Tibbers burns nearby enemies for <magicDamage>{{ tibbersauradamage }} magic damage per second</magicDamage> and his Attacks deal <magicDamage>{{ tibbersaadamage }} magic damage</magicDamage>. Annie can <recast>Recast</recast> this ability to direct Tibbers.<br /><br />If Annie dies, Tibbers becomes enraged, gaining <attackSpeed>275% Attack Speed</attackSpeed> and <speed>100% Movement Speed</speed> decaying over 3 seconds.",3,120_100_80,100_100_100,-1,600
523,Q,Weapon Abilites,"Aphelios has 5 different activated abilities, based on his main-hand weapon:<br><br>Calibrum (Rifle): Long range shot that marks its target for a long-range follow-up attack.<br>Severum (Scythe Pistol): Run fast while attacking nearby enemies with both weapons.<br>Gravitum (Cannon): Root all enemies slowed by this weapon.<br>Infernum (Flamethrower): Blast enemies in a cone and attack them with your off-hand weapon.<br>Crescendum (Chakram): Deploy a sentry that shoots your off-hand weapon.<br>",,6,9_9_9_9_9_9,60_60_60_60_60_60,-1,1450
523,W,Phase,"Aphelios swaps his main-hand gun with his off-hand gun, replacing his basic attack and activated ability.","Swap main-hand and off-hand weapons, equipping <b><i><span class=""colora64dff"">Gravitum</span></i></b>.",6,0.8_0.8_0.8_0.8_0.8_0.8,0_0_0_0_0_0,-1,250
523,E,Weapon Queue System,Aphelios has no third ability. This slot shows the next weapon Alune will give him. Weapon order begins fixed but may change over game time -- when a weapon is out of ammo it goes to the end of the order.,,6,0_0_0_0_0_0,0_0_0_0_0_0,-1,1000
523,R,Moonlight Vigil,Fire a concentrated blast of moonlight that explodes on enemy champions. Applies the unique effect of Aphelios' main-hand gun.,"Aphelios fires a concentrated blast of moonlight that explodes when it hits a champion, dealing <physicalDamage>{{ maxdamage }} physical damage</physicalDamage> to surrounding enemies.<br /><br />Then, Aphelios attacks all champions hit with his main-hand weapon. {{ Spell_ApheliosR_WeaponMod_{{ f1 }} }}",3,120_110_100,100_100_100,-1,1300
22,Q,Ranger's Focus,"Ashe builds up Focus by attacking. At maximum Focus, Ashe can cast Ranger's Focus to consume all stacks of Focus, temporarily increasing her Attack Speed and transforming her basic attack into a powerful flurry attack for the duration.","<spellPassive>Passive: </spellPassive>Ashe's Attacks grant a stack for {{ e1 }} seconds. At {{ e2 }} stacks, she may activate this ability.<br /><br /><spellPassive>Active:</spellPassive> Ashe gains <attackSpeed>{{ e4 }}% Attack Speed</attackSpeed> and her Attacks deal <physicalDamage>{{ empowereddamage }} damage</physicalDamage> instead for {{ e3 }} seconds.",5,0_0_0_0_0,50_50_50_50_50,-1,400
22,W,Volley,Ashe fires arrows in a cone for increased damage. Also applies Frost Shot.,"Ashe fires a volley of {{ numberofarrowstooltip }} arrows, each dealing <physicalDamage>{{ totaldamage }} physical damage</physicalDamage>. Enemies can be hit by multiple arrows, but only take damage from the first.",5,18_14.5_11_7.5_4,70_70_70_70_70,-1,1200
22,E,Hawkshot,Ashe sends her Hawk Spirit on a scouting mission anywhere on the map.,Ashe sends forth a hawk to grant vision for 5 seconds anywhere on the map. It also reveals the area around it as it flies.<br /><br />This ability has 2 charges ({{ chargecooldown }} second recharge).,5,5_5_5_5_5,0_0_0_0_0,2,25000
22,R,Enchanted Crystal Arrow,"Ashe fires a missile of ice in a straight line. If the arrow collides with an enemy Champion, it deals damage and stuns the Champion, stunning for longer the farther arrow has traveled. In addition, surrounding enemy units take damage and are slowed.","Ashe launches a crystal arrow of ice that <status>Stuns</status> the first champion hit and deals <magicDamage>{{ rmaindamage }} magic damage</magicDamage>. The <status>Stun</status> duration increases with distance travelled, up to {{ maxstunduration }} seconds. Surrounding enemies take half damage.",3,100_80_60,100_100_100,-1,25000
136,Q,Starsurge,"Aurelion Sol creates an expanding disk, which explodes to stun and damage enemies when it moves too far away from him.","Aurelion Sol creates a small star that grows and grants him <speed>{{ e2 }}% Move Speed</speed>. Upon exiting Aurelion Sol's <keywordMajor>Outer Limit</keywordMajor> or after <recast>Recasting</recast>, the star explodes, dealing <magicDamage>{{ totaldamage }} magic damage</magicDamage> and <status>Stunning</status> for between {{ minstun }} and {{ e4 }} seconds, based on travel time.",5,12_11_10_9_8,60_70_80_90_100,-1,1075
136,W,Celestial Expansion,"Aurelion Sol pushes his stars farther out, increasing their damage and speed.","<spellPassive>Passive:</spellPassive> Increases <spellName>Center of the Universe's</spellName> damage by {{ starbasedamageincrease }}.<br /><br /><spellActive>Active:</spellActive> Aurelion Sol's stars expand to his <keywordMajor>Outer Limit</keywordMajor>, increase in speed, and deal {{ damagemultiplier*100 }}% damage. After 3 seconds, <recast>Recasting</recast>, or using <spellName>Comet of Legend</spellName> they retract and Aurelion Sol gains <speed>40% Move Speed</speed>, decaying over 1.5 seconds.<br />",5,8_6.5_5_3.5_2,70_80_90_100_110,-1,600
136,E,Comet of Legend,Aurelion Sol takes off flying for a long distance.,Aurelion Sol starts flying along a path at <speed>{{ e4 }} Move Speed</speed>. Taking damage from champions or structures ends the flight. While flying he can see and be seen over walls.<br /><br />This ability can only be used outside of combat.,5,80_75_70_65_60,60_60_60_60_60,-1,5500/6000/6500/7000/7500
136,R,Voice of Light,"Aurelion Sol projects a blast of pure starfire, damaging and slowing all enemies caught in it and knocking nearby enemies back to a safer distance.","Aurelion Sol breathes out a blast of starfire, dealing <magicDamage>{{ totaldamage }} magic damage</magicDamage>, <status>Slowing</status> by {{ e2 }}% for {{ e3 }} seconds, and <status>Knocking Back</status> enemies to his <keywordMajor>Outer Limit</keywordMajor>.",3,110_90_70,100_100_100,-1,1500
268,Q,Conquering Sands,Azir sends all Sand Soldiers towards a location. Sand Soldiers deal magic damage to enemies they pass through and apply a slow for 1 second.,"Azir orders all <keywordMajor>Sand Soldiers</keywordMajor> to an area, dealing <magicDamage>{{ totaldamage }} magic damage</magicDamage> to enemies they pass through and <status>Slowing</status> them by {{ e2 }}% for 1 second.",5,14_12_10_8_6,55_55_55_55_55,-1,740
268,W,Arise!,"Azir summons a Sand Soldier to attack nearby targets for him, replacing his basic attack against targets within the soldier's range. Their attacks deal magic damage to enemies in a line. Arise! also passively grants attack speed to Azir and his Sand Soldiers.","<spellPassive>Passive:</spellPassive> Azir gains <attackSpeed>{{ e3 }}% Attack Speed</attackSpeed>. Upon having {{ e6 }} or more <keywordMajor>Sand Soldiers</keywordMajor>, he gains an additional <attackSpeed>{{ e7 }}% Attack Speed</attackSpeed> for {{ e8 }} seconds.<br /><br /><spellActive>Active:</spellActive> Azir summons a <keywordMajor>Sand Soldier</keywordMajor> for {{ e1 }} seconds. When Azir Attacks an enemy near a <keywordMajor>Sand Soldier</keywordMajor>, he instead orders the soldiers to stab, dealing <magicDamage>{{ totaldamage }} magic damage</magicDamage> in their direction.<br /><br />This Ability has {{ maxammo }} charges.",5,1.5_1.5_1.5_1.5_1.5,40_40_40_40_40,2,500
268,E,Shifting Sands,"Azir shields himself briefly and dashes to one of his Sand Soldiers, damaging enemies. If he hits an enemy champion, he instantly readies a new Sand Soldier for deployment and halts his dash.","Azir grants himself <shield>{{ totalshield }} Shield</shield> for {{ e6 }} seconds and dashes to one of his <keywordMajor>Sand Soldiers</keywordMajor>, dealing <magicDamage>{{ totaldamage }} magic damage</magicDamage> to enemies he passes through.<br /><br />If Azir hits an enemy champion, he stops and gains a <keywordMajor>Sand Soldier</keywordMajor> charge.",5,19_18_17_16_15,60_60_60_60_60,-1,1100
268,R,Emperor's Divide,"Azir summons a wall of soldiers which charge forward, knocking back and damaging enemies.","Azir summons a wall of armored soldiers that charges forward, <status>Knocking Back</status> enemies and dealing <magicDamage>{{ totaldamage }} magic damage</magicDamage>. The soldiers remain, blocking enemy paths for {{ e4 }} seconds.",3,120_105_90,100_100_100,-1,250
432,Q,Cosmic Binding,"Bard fires a missile which will slow the first enemy struck, and continue onward. If it strikes a wall, it will stun the initial target; if it strikes another enemy, it will stun them both.","Bard fires an energy bolt, dealing <magicDamage>{{ totaldamage }} magic damage</magicDamage> to the first two enemies hit. The first target hit is <status>Slowed</status> by {{ e3 }}% for {{ e4 }} second(s).<br /><br />If the bolt hits a second enemy or a wall, any enemies hit are <status>Stunned</status> for {{ e2 }} second(s).<br />",5,11_10_9_8_7,60_60_60_60_60,-1,25000
432,W,Caretaker's Shrine,"Reveals a healing shrine which powers up over a short time, disappearing after healing and speeding up the first ally that touches it.","Bard creates a health shrine that grants <speed>{{ e1 }}% Move Speed</speed> decaying over {{ e2 }} seconds and restores at least <healing>{{ initialheal }} Health</healing> to the first ally to enter. The shrine grows to restore <healing>{{ maxheal }} Health</healing> after existing for {{ e8 }} seconds.<br /><br />Bard can have up to {{ e3 }} shrines at once. If an enemy champion enters a shrine, it is destroyed.<br /><br />Current Active Shrines: {{ f1 }} / {{ f2 }}",5,14_14_14_14_14,70_70_70_70_70,-1,800
432,E,Magical Journey,Bard opens a portal in nearby terrain. Allies and enemies alike can take a one-way trip through that terrain by moving into the portal.,Bard opens a one-way portal through Terrain for {{ e1 }} seconds. Any champion can enter the portal by moving onto it while near the entrance.,5,22_20.5_19_17.5_16,30_30_30_30_30,-1,900
432,R,Tempered Fate,"Bard sends spirit energy arcing to a location, putting all champions, minions, monsters, and turrets hit into stasis for a brief time.","Bard hurls magical protective energy to an area, placing all units and structures hit into Stasis for {{ rstasisduration }} seconds.",3,110_95_80,100_100_100,-1,3400
53,Q,Rocket Grab,"Blitzcrank fires his right hand to grab an opponent on its path, dealing damage and dragging it back to him.","Blitzcrank fires his right hand, <status>Pulling</status> the first enemy hit towards him and dealing <magicDamage>{{ totaldamage }} magic damage</magicDamage>.",5,20_19_18_17_16,100_100_100_100_100,-1,1079
53,W,Overdrive,Blitzcrank super charges himself to get dramatically increased Move and Attack Speed. He is temporarily slowed after the effect ends.,"Blitzcrank supercharges himself, gaining <speed>{{ initialms }}% decaying Move Speed</speed> and <attackSpeed>{{ e2 }}% Attack Speed</attackSpeed> for {{ e4 }} seconds. Afterwards, Blitzcrank is <status>Slowed</status> by {{ e3 }}% for {{ e5 }} seconds.",5,15_15_15_15_15,75_75_75_75_75,-1,1
53,E,Power Fist,Blitzcrank charges up his fist to make his next attack deal double damage and pop his target up in the air.,"Blitzcrank charges up his fist, causing his next Attack to <status>Knock Up</status> and deal <physicalDamage>{{ attackdamagett }} physical damage</physicalDamage>.<br /><br /><rules>This Ability triggers spell effects upon dealing damage.</rules>",5,9_8_7_6_5,25_25_25_25_25,-1,300
53,R,Static Field,"Enemies attacked by Blitzcrank are marked and take lightning damage after 1 second. Additionally, Blitzcrank can activate this ability to remove nearby enemies' shields, damage them, and silence them briefly.","<spellPassive>Passive: </spellPassive>While this ability is available, lightning charges Blitzcrank's fists, marking those he Attacks. After 1 second, they are shocked for <magicDamage>{{ passivedamage }} magic damage</magicDamage>.<br /><br /><spellActive>Active: </spellActive>Blitzcrank overcharges, dealing <magicDamage>{{ activedamage }} magic damage</magicDamage> and <status>Silencing</status> nearby enemies for 0.75 seconds. Their shields are also destroyed.",3,60_40_20,100_100_100,-1,600
63,Q,Sear,"Brand launches a ball of fire forward that deals magic damage. If the target is ablaze, Sear will stun the target for 1.5 seconds.","Brand launches a fireball that deals <magicDamage>{{ totaldamage }} magic damage</magicDamage> to the first enemy hit.<br /><br />If the target is <keywordMajor>Ablaze</keywordMajor>, they will be <status>Stunned</status> for 1.5 seconds.",5,8_7.5_7_6.5_6,50_50_50_50_50,-1,1050
63,W,Pillar of Flame,"After a short delay, Brand creates a Pillar of Flame at a target area, dealing magic damage to enemy units within the area. Units that are ablaze take an additional 25% damage.","Brand creates a pillar of pure fire, dealing <magicDamage>{{ totaldamage }} magic damage</magicDamage>.<br /><br />Units that are <keywordMajor>Ablaze</keywordMajor> take <magicDamage>{{ empowereddamage }} damage</magicDamage> instead.",5,10_9.5_9_8.5_8,60_70_80_90_100,-1,900
63,E,Conflagration,"Brand conjures a powerful blast at his target that spreads to nearby enemies, dealing magic damage. If the target is ablaze, Conflagration's spread is doubled.","Brand conjures a powerful blast at his target, dealing <magicDamage>{{ explosiondamage }} magic damage</magicDamage> to surrounding units.<br /><br />If the target is <keywordMajor>Ablaze</keywordMajor>, the spread range is doubled.",5,12_11_10_9_8,70_75_80_85_90,-1,625
63,R,Pyroclasm,"Brand unleashes a devastating torrent of fire that bounces up to 5 times off of Brand and nearby enemies, dealing magic damage to enemies each time bounce. Bounces prioritize stacking Blaze to max on Champions. If a target is ablaze, Pyroclasm will briefly slow them.","Brand unleashes a devastating torrent of fire that can bounce to Brand or another enemy up to 5 times, dealing <magicDamage>{{ totaldamage }} magic damage</magicDamage> to enemies each bounce. Bounces prioritize stacking <keywordMajor>Blaze</keywordMajor> to max on champions.<br /><br />If the target is <keywordMajor>Ablaze</keywordMajor>, they are briefly <status>Slowed</status> by {{ slowamount }}%.",3,105_90_75,100_100_100,-1,750
